time,strategy,side,price,portfolio_value,profit_loss
2026-07-18T18:14:12,bollinger_breakout,BUY,64434.70,9984.06,-15.94
2026-07-18T18:30:49,breakout,BUY,64511.10,9984.06,-15.94
2026-07-19T12:09:06,breakout,SELL (stop),64366.90,9930.98,-69.02
2026-07-19T12:09:06,rsi_reversion,BUY,64366.90,9984.06,-15.94
2026-07-19T12:09:06,bollinger_breakout,SELL (stop),64366.90,9942.73,-57.27
2026-07-19T13:57:33,regime_adaptive,BUY,64441.80,9984.06,-15.94
2026-07-20T00:16:23,breakout,BUY,65037.90,9915.15,-84.85
2026-07-20T00:16:23,macd,BUY,65037.90,9984.06,-15.94
2026-07-20T00:16:23,bollinger_breakout,BUY,65037.90,9926.88,-73.12
2026-07-20T00:16:23,volume_breakout,BUY,65037.90,9984.06,-15.94
2026-07-20T04:10:37,sma_cross,BUY,64701.60,9984.06,-15.94
2026-07-20T07:35:52,breakout,SELL (stop),64092.60,9741.10,-258.90
2026-07-20T07:35:52,sma_cross,SELL (stop),64092.60,9859.69,-140.31
2026-07-20T07:35:52,macd,SELL (stop),64092.60,9808.81,-191.19
2026-07-20T07:35:52,rsi_reversion,SELL (stop),64092.60,9910.85,-89.15
2026-07-20T07:35:52,bollinger_breakout,SELL (stop),64092.60,9752.63,-247.37
2026-07-20T07:35:52,volume_breakout,SELL (stop),64092.60,9808.81,-191.19
2026-07-20T07:35:52,regime_adaptive,SELL (stop),64092.60,9899.36,-100.64
2026-07-20T13:20:48,ema_cross,BUY,64646.30,9984.06,-15.94
2026-07-21T06:44:51,breakout,BUY,65887.30,9725.57,-274.43
2026-07-21T06:44:51,regime_adaptive,BUY,65887.30,9883.57,-116.43
2026-07-22T03:52:37,rsi_reversion,BUY,66281.60,9895.05,-104.95
2026-07-22T06:45:42,breakout,SELL (stop),65911.00,9698.98,-301.02
2026-07-22T06:45:42,ema_cross,SELL (stop),65911.00,10147.51,+147.51
2026-07-22T06:45:42,regime_adaptive,SELL (stop),65911.00,9856.55,-143.45
2026-07-22T14:30:31,rsi_reversion,SELL (stop),65557.40,9756.89,-243.11
2026-07-22T14:30:31,regime_adaptive,BUY,65557.40,9840.83,-159.17
2026-07-23T00:16:38,ema_cross,BUY,66147.00,10131.33,+131.33
